Umbrella_Name,Fund_Name,Fund_Class,Valuation_Date,BASECurrency,QUOTCurrency,NAV_per_unit,Previous_NAV_per_unit,Change_in_NAV_per_unit,Change_Percent_in_NAV_per_unit,Client_Offer_Price,Client_Offer_Percentage,Income_Aktien,Total_NAV_per_Class_Base_Ccy,Total_Net_Assets_per_Class_MIL,Units_In_Issue,DIV_Flag,Cutas,FT,ISIN,BloombergTicker,VN,FMSedols,ISESedols,EuroClearCedel,Bundesamt,Sicovam,AFCCodes,WKN,Annualised_1_Day_Yield,clio_fund_id,Distribution_rate_per_share,Accum_Deemed_Distrib,Cap_Per_Unit,Inc_Per_Unit,Fund_Title,IFAST_account_number,IFAST_account_class,Income_Zwish,Unrounded_Quotations_NAV,Unrounded_Base_NAV,Exchange_Rate,ExpenseRatio,DividendtoMonthMethod,FundType,AccrualDate,MillRate,DailyDividend,DividendMonthtodate,DayYield1,DayYield7,DayYield30,MCH_account_number,MCH_account_class,Income_IG,Total_NAV_Per_Fund,AG2,TIS,TID,CUSIP,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,HKD D2 Class Income Units,05/05/2023,USD,HKD,7.93,7.82,.11,1.41,,,.00,201689.62,.20,199573.622,,,,IE00BD5DHD66,PRGPSD2 ID,,,BD5DHD6,,,,,A2PXJ3,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.930705,1.010603,7.847501,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,Singapore Dollar Hedged A Class Accumulation Units,05/05/2023,USD,SGD,8.94,8.82,.12,1.36,,,.00,3372.74,.00,500.000,,,,IE00BD5DH473,PRGPASH ID,,,BD5DH47,,,,,A2P1D1,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,8.941844,6.745480,1.325605,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,Singapore Dollar Hedged A Class Income Units,05/05/2023,USD,SGD,8.80,8.68,.12,1.38,,,.00,3388.17,.00,510.522,,,,IE00BD5DH697,PRGPAHS ID,,,BD5DH69,,,,,A2P1D2,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,8.797616,6.636678,1.325605,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,EUR I Class Accumulation Units,05/05/2023,USD,EUR,10.51,10.37,.14,1.35,,,.00,84595602.08,84.60,7311461.196,,,,IE00BD5DGZ12,PRGPSIE ID,,,BD5DGZ1,,,,,A2P6DW,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,10.512427,11.570273,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,BRL Hedged I Class Accumulation ,05/05/2023,USD,BRL,9.20,9.07,.13,1.43,,,.00,3694294.83,3.69,1994058.294,,,,IE00BKQN4F53,PRGPSIA ID,,,BKQN4F5,,,,,A2QRS7,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,9.202023,1.852651,4.966948,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,SEK I3 Class Accumulation Units,05/05/2023,USD,SEK,10.42,10.37,.05,.48,,,.00,9550080.42,9.55,9327837.234,,,,IE00BNC50B48,PRGPSI3 ID,,,BNC50B4,,,,,A2QRS8,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,10.419668,1.023826,10.177189,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,AUD Hedged A2 Class Income Plus (Quarterly) Units,05/05/2023,USD,AUD,7.42,7.32,.10,1.37,,,.00,531038.72,.53,106144.747,,,,IE000DU3GW96,PRGPSAA ID,,,BMH43P4,,,,,A3C9MM,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.420087,5.002967,1.483137,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,EUR Hedged A2 Class Income Plus (Quarterly) Units,05/05/2023,USD,EUR,7.38,7.27,.11,1.51,,,.00,749.68,.00,92.348,,,,IE000ZXV5MF7,PRGPAPE ID,,,BMH43Q5,,,,,A3C9MN,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.375778,8.117988,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,SGD Hedged A2 Class Income Plus (Quarterly) Units,05/05/2023,USD,SGD,7.55,7.45,.10,1.34,,,.00,114792.66,.11,20142.372,,,,IE000HNJVDX9,PRGPSA2 ID,,,BMH43S7,,,,,A3C9MP,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.554709,5.699064,1.325605,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,HKD A2 Class Income Plus (Quarterly) Units,05/05/2023,USD,HKD,7.45,7.34,.11,1.50,,,.00,773.32,.00,814.404,,,,IE000H66BMF8,PRGPSHK ID,,,BMH43R6,,,,,A3C9MQ,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.451621,.949553,7.847501,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,HKD D2 Income Plus (Gross) Units,05/05/2023,USD,HKD,8.47,8.34,.13,1.56,,,.00,877.16,.00,813.171,,,,IE000DXKTCR3,PIFGDJD ID,,,BPNZVS1,,,,,987946,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,8.465027,1.078691,7.847501,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,D Class Accumulation Units,05/05/2023,USD,USD,9.59,9.45,.14,1.48,,,.00,2663003.11,2.66,277825.371,,,,IE00B45YFT81,PIFGPDU ID,,,B45YFT8,,,,,A2PM6X,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,9.585169,9.585169,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Responsible Equity Fund,USD A Class Accumulation,05/05/2023,USD,USD,72.24,71.40,.84,1.18,,,.00,2472615.93,2.47,34228.839,X ,GEQA,BBIGAN,IE0001148489,PIFIGFA ID,514305,,0114848,7720785,,,,986039,,305,,,,,PGIF Global Responsible Equity Fund,PGEF,A,.0000,72.237797,72.237797,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA1,C,0,42496925,.000000000,.000000,.000000000,G7244L230,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Responsible Equity Fund,USD A Class Income,05/05/2023,USD,USD,62.59,61.87,.72,1.16,,,.00,3456995.03,3.46,55233.116,X ,GEQI,BBIGRN,IE0000712889,PIFIGFI ID,116284,,0071288,7720777,,,,986038,,306,,,,,PGIF Global Responsible Equity Fund,PGEF,I,.0000,62.589173,62.589173,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA1,B,0,42496925,.000000000,.000000,.000000000,G7244L248,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Responsible Equity Fund,USD I Class Accumulation,05/05/2023,USD,USD,33.61,33.22,.39,1.17,,,.00,985819.01,.99,29333.613,XD,GEQNA,BBIGEA,IE0002490740,PIFGEIA ID,860503,,0249074,8831599,,,,987944,,307,,,,,PGIF Global Responsible Equity Fund,PGEF,NA,.0000,33.607146,33.607146,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA1,D,0,42496925,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Responsible Equity Fund,USD F2 Class Accumulation,05/05/2023,USD,USD,14.54,14.37,.17,1.18,,,.00,35581495.21,35.58,2447533.545,,,,IE00BZBWHJ74,PIFGF2A ID,,,BZBWHJ7,,,,,A2JMB3,,,,,,,PGIF Global Responsible Equity Fund,,,.0000,14.537695,14.537695,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,42496925,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD A Class Income,05/05/2023,USD,USD,7.78,7.78,.00,.00,,,.00,319096218.08,319.10,41012249.969,XD,PSIAI,,IE00B067MS69,PRIIFSI ID,2079429,,B067MS6,,,,,A0D8H0,,1081,,,,,PGIF PREFERRED SECURITIES FUND,PPSI,I,.0000,7.780510,7.780510,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA8,B,0,3912396853,.000000000,.000000,.000000000,G7244L289,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD A Class Accumulation,05/05/2023,USD,USD,15.56,15.57,-.01,-.06,,,.00,428122863.65,428.12,27511286.978,,,,IE0032590923,PPSECAA ID,1601440,,3259092,,,,,813946,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,15.561717,15.561717,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,G7244L115,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD I Class Income,05/05/2023,USD,USD,8.78,8.79,-.01,-.11,,,.00,352603896.08,352.60,40150282.213,,,,IE00B96S2C60,PPSEICI ID,20588609,,B96S2C6,,,,,A1W5AL,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,8.782103,8.782103,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,G7244T548,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD P Class Income,05/05/2023,USD,USD,8.76,8.76,.00,.00,,,.00,34930766.92,34.93,3988132.124,,,,IE00B7FSX311,PGPSPUI ID,21135870,,B7FSX31,,,,,A1XFEH,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,8.758678,8.758678,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,G7244T522,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD P Class Accumulation,05/05/2023,USD,USD,14.02,14.02,.00,.00,,,.00,80876205.17,80.88,5769908.528,,,,IE00B7F83F33,PGPSPUA ID,21135868,,B7F83F3,,,,,A1XCKN,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,14.016896,14.016896,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,G7244T530,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD D Class Accumulation,05/05/2023,USD,USD,24.61,24.62,-.01,-.04,,,.00,463422474.50,463.42,18833743.474,,,,IE00B3CCBJ05,PGIPSID ID,3528852,,B3CCBJ0,,,,,A0PEBH,,,,,,,PGIF PREFERRED SECURITIES FUND,PPSI,,.0000,24.605967,24.605967,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PPSI,D,0,3912396853,.000000000,.000000,.000000000,G7244L594,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD D2 CLASS INCOME,05/05/2023,USD,USD,8.58,8.58,.00,.00,,,.00,54839248.69,54.84,6391117.344,,,,IE00BYM2LQ48,PGPUD2I ID,,,BYM2LQ4,,,,,A2JMB7,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,8.580542,8.580542,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD F2 CLASS ACCUMULATION,05/05/2023,USD,USD,11.22,11.22,.00,.00,,,.00,36024792.85,36.02,3211028.759,,,,IE00BZBWH190,PGPUF2A ID,,,BZBWH19,,,,,A2JMB8,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,11.219081,11.219081,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD N Class Accumulation Units,05/05/2023,USD,USD,10.93,10.94,-.01,-.09,,,.00,187237156.96,187.24,17126517.725,,,,IE00BD0Q8V55,PGPSUNA ID,,,BD0Q8V5,,,,,A2DHUZ,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,10.932588,10.932588,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD N Class Income Units,05/05/2023,USD,USD,8.68,8.69,-.01,-.12,,,.00,100111642.25,100.11,11528406.687,,,,IE00BD0Q8W62,PGPSUNI ID,,,BD0Q8W6,,,,,A2DG5W,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,8.683910,8.683910,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,USD D Class Income,05/05/2023,USD,USD,10.39,10.40,-.01,-.10,,,.00,317732065.92,317.73,30572138.017,,,,IE00B45QYL94,PGIPSDI ID,10662065,,B45QYL9,,,,,A1JBGT,,,,,,,PGIF PREFERRED SECURITIES FUND,PPSI,,.0000,10.392864,10.392864,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PPSI,D,0,3912396853,.000000000,.000000,.000000000,G7244T175,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,D2 CLASS INCOME PLUS UNITS,05/05/2023,USD,USD,8.27,8.28,-.01,-.12,,,.00,5920135.39,5.92,715448.674,,,,IE00BJLTX873,PPSD2PU ID,,,BJLTX87,,,,,A2P6BN,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,8.274717,8.274717,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,EUR Hedged A Class Accumulation,05/05/2023,USD,EUR,15.92,15.93,-.01,-.06,,,.00,41381261.87,41.38,2361469.542,XD,PSIAE,Q2PSIV,IE00B00Z9M92,PGIPSVA ID,3707656,,B00Z9M9,17383965,,,,A0CA5Z,,762,,,,,PGIF PREFERRED SECURITIES FUND,PPSI,A,.0000,15.921383,17.523521,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA8,C,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,EUR Hedged I Class Accumulation,05/05/2023,USD,EUR,11.12,11.13,-.01,-.09,,,.00,200592880.13,200.59,16386024.515,XD,PSINE,,IE00B2NGJY51,PGIPSAE ID,3715795,,B2NGJY5,,,,,A1T6LK,,913,,,,,PGIF PREFERRED SECURITIES FUND,PPSI,HA,.0000,11.122472,12.241705,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA8,E,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,JPY Hedged I Class Accumulation,05/05/2023,USD,JPY,1564.55,1565.48,-.93,-.06,,,.00,174590382.76,174.59,15053076.905,,,,IE00B5KPPF97,PGIHIJA ID,11273088,,B5KPPF9,,,,,A1JBGQ,,,,,,,PGIF PREFERRED SECURITIES FUND,PPSI,,.0000,1564.554950,11.598319,134.894979,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PPSI,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,JPY Hedged I Class Income,05/05/2023,USD,JPY,680.27,680.68,-.41,-.06,,,.00,44770981.56,44.77,8877862.251,,,,IE00B5SK4K43,PGIPHIA ID,11861319,,B5SK4K4,,,,,A1JBGR,,,,,,,PGIF PREFERRED SECURITIES FUND,PPSI,,.0000,680.274196,5.042991,134.894979,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PPSI,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,EUR Hedged I Class Income,05/05/2023,USD,EUR,5.39,5.39,.00,.00,,,.00,59179152.73,59.18,9978066.448,,,,IE00B61TKZ25,PGIIHIE ID,13185884,,B61TKZ2,,,,,A1JAK6,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,5.388672,5.930924,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,CHF Hedged A Class Accumulation,05/05/2023,USD,CHF,10.43,10.44,-.01,-.10,,,.00,37268789.13,37.27,3188359.514,,,,IE00B6824L80,PPSCHAA ID,12906142,,B6824L8,,,,,A1W49V,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,10.434091,11.689017,.892641,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,GBP Hedged A Class Income,05/05/2023,USD,GBP,5.45,5.45,.00,.00,,,.00,28986775.76,28.99,4214534.152,,,,IE00B2NGK193,PPSSHAI ID,3706982,,B2NGK19,,,,,A1JGF5,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,5.451443,6.877813,.792613,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,CHF Hedged I Class Accumulation,05/05/2023,USD,CHF,11.27,11.27,.00,.00,,,.00,25371338.49,25.37,2010333.588,,,,IE00B63L3Z75,PPSIHAC ID,19009115,,B63L3Z7,,,,,A1W5AJ,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,11.265537,12.620462,.892641,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,EUR Hedged A Class Income,05/05/2023,USD,EUR,5.84,5.84,.00,.00,,,.00,21381998.92,21.38,3326773.033,,,,IE00B3SPD311,PPSAEHI ID,19009110,,B3SPD31,,,,,A1W5AH,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,5.839619,6.427249,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,GBP Hedged I Class Income,05/05/2023,USD,GBP,5.26,5.27,-.01,-.19,,,.00,117322566.47,117.32,17664349.997,,,,IE00B2NGK201,PPSGHII ID,3707020,,B2NGK20,,,,,A1W5AK,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,5.264353,6.641771,.792613,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,JPY Hedged A Class Accumulation,05/05/2023,USD,JPY,1098.79,1099.47,-.68,-.06,,,.00,1228230.70,1.23,150785.716,,,,IE00BZBWH422,PGPSJAA ID,,,BZBWH42,,,,,A2JNGN,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,1098.792104,8.145537,134.894979,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,EURO Hedged N Class Accumulation Units,05/05/2023,USD,EUR,8.30,8.30,.00,.00,,,.00,5185124.22,5.19,567805.207,,,,IE00BD0Q8X79,PGPSEHN ID,,,BD0Q8X7,,,,,A2JMCA,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,8.296964,9.131872,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Preferred Securities Fund,EURO Hedged N Class Income Units,05/05/2023,USD,EUR,6.21,6.22,-.01,-.16,,,.00,761771.10,.76,111372.199,,,,IE00BD0Q8Y86,PGEHNIU ID,,,BD0Q8Y8,,,,,A2JMCB,,,,,,,PGIF PREFERRED SECURITIES FUND,,,.0000,6.214513,6.839868,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,3912396853,.000000000,.000000,.000000000,,EndofRow,
